~id,~label,d3:string,d2:string,d1:string,d0:string
gc_863,vertex,Unknown to ISGCI,k-DIR,DarkGray,?
gc_201,vertex,is_pseudo_modular returns False,3-Helly,IndianRed,-
gc_1089,vertex,Unknown to ISGCI,unit 3-circular track,DarkGray,?
gc_1083,vertex,NP-complete,unit 3-interval,DarkGray,?
gc_388,vertex,is_k14_free returns False,"K_{1,4}-free",IndianRed,-
gc_1081,vertex,NP-complete,unit 3-track,DarkGray,?
gc_897,vertex,,"(K_{5},X_{126},X_{174},co(3K_{2}))-minor-free",DarkGray,?
gc_610,vertex,,odd-hole-free ∩ pretty,DarkGray,?
gc_1210,vertex,NP-complete,"(4,0)-colorable",DarkGray,?
AUTO_766,vertex,,"(S_{3},co(3K_{2}),co(E),co(P_{2} U P_{4}),odd anti-hole,odd-hole)-free",DarkGray,?
gc_821,vertex,Unknown to ISGCI,C_{n+7}-free,DarkGray,?
gc_356,vertex,,odd-hole-free,DarkGray,?
gc_789,vertex,Open,probe permutation,DarkGray,?
gc_953,vertex,is_co_planar returns False,co-planar,IndianRed,-
gc_952,vertex,NP-complete,CONV,DarkGray,?
gc_1182,vertex,NP-complete,5-colorable,DarkGray,?
gc_1101,vertex, successor of gc_1101 in exclusion graph,4-regular,IndianRed,-
gc_763,vertex,,probe P_{4}-sparse,DarkGray,?
gc_143,vertex,Unknown to ISGCI,preperfect,DarkGray,?
gc_699,vertex,Unknown to ISGCI,clique-perfect,DarkGray,?
gc_482,vertex,,cliquewidth 3,DarkGray,?
gc_264,vertex,,"(5,2)-odd-chordal",DarkGray,?
gc_977,vertex,,"(anti-hole,odd-hole)-free",DarkGray,?
gc_680,vertex,Unknown to ISGCI,slim,DarkGray,?
gc_267,vertex,Open,strongly perfect,DarkGray,?
gc_57,vertex,Unknown to ISGCI,bip\^{*},DarkGray,?
gc_997,vertex,,building-free ∩ even-signable,DarkGray,?
gc_704,vertex,,quasi-Meyniel,DarkGray,?
gc_254,vertex,Open,locally perfect,DarkGray,?
gc_5,vertex,NP-complete,P_{4}-bipartite,DarkGray,?
gc_703,vertex,Unknown to ISGCI,skeletal,DarkGray,?
gc_702,vertex,Unknown to ISGCI,slender,DarkGray,?
gc_682,vertex,Unknown to ISGCI,probe Gallai,DarkGray,?
gc_142,vertex,,clique separable,DarkGray,?
gc_1181,vertex,is_apex returns False,apex,IndianRed,-
gc_1342,vertex,NP-complete,6-colorable,DarkGray,?
gc_1104,vertex,is_5_regular returns False,5-regular,IndianRed,-
gc_831,vertex,Open,probe chordal bipartite,DarkGray,?
